recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CogMisp24_S08_549144000,549144000,CogMisp-24,27,63,37,63,0.522025477147143,0.23535797229335081,6,-0.2452830188679245,0.008894424920585462,2,2.1666666666666665,0.983192080250175,6,0,0,6,NA,NA,NA,NA,NA,NA,2,6,584.7222222222223,376.1063925520524,6,536.1111111111112,363.07585168126246,6,713.8888888888889,398.66675956892266,0.15749999999999997,0.19258115172570764,6,0.1343055555555556,0.16362051849958836,6,363.6666666666667,117.9010884880486,6,2,target
CogMisp24_S11_544008000,544008000,CogMisp-24,24,98,2,98,0.8044393753290051,0.18936310936541162,3,NA,NA,NA,2,0,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,0.6666666666666666,3,752.7777777777778,470.8394788192839,3,444.44444444444446,394.8745698648192,3,1111.1111111111113,934.7211903576937,0.2833333333333335,0.08962886439832503,3,0.19768486590038314,0.03854750312883754,3,450,125.76565508913791,3,-1,target
CogMisp24_S16_528516000,528516000,CogMisp-24,30,81,19,81,0.5204654031417641,0.26518475565251887,5,-0.5251572327044025,0.004447212460292594,2,1.8,0.44721359549995793,5,0.2,0.44721359549995793,5,NA,NA,NA,NA,NA,NA,2.2,5,833.3333333333334,545.6583689045332,5,696.6666666666667,618.2861617226912,5,1013.3333333333334,639.3790390336202,0.217,0.17020575783445155,5,0.18407692307692303,0.10225286389897567,5,403,126.74383614203887,5,5,target
CogMisp24_S17_542916000,542916000,CogMisp-24,24,59,41,59,0.1564625850340136,NA,1,NA,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,366.6666666666667,NA,1,366.6666666666667,NA,1,366.6666666666667,NA,0.43999999999999995,NA,1,0.3008333333333333,NA,1,466,NA,1,-1,target
CogMisp24_S26_549528000,549528000,CogMisp-24,28,89,11,89,0.6602552063931921,0.3996077592928058,6,-0.5440251572327044,0.10228588658673322,2,1.2,0.44721359549995793,5,0.6666666666666666,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,0.6666666666666666,6,1976.6666666666667,920.6428913174387,5,1966.6666666666667,941.1871935663667,5,1986.6666666666667,900.1851661371305,0.21749999999999994,0.10073480034228488,6,0.1437603890362511,0.05696526220883059,6,308,155.76007190547904,6,3,target
CogMisp24_S30_561996000,561996000,CogMisp-24,28,72,24,72,0.40540540540540543,0.2962204083349051,2,NA,NA,NA,1.5,0.7071067811865476,2,0,0,2,NA,NA,NA,NA,NA,NA,2.5,2,458.33333333333337,271.0575994548432,2,375,153.2064692570853,2,541.6666666666667,388.90872965260115,0.16000000000000014,0.03535533905932725,2,0.07316666666666682,0.15202795795510762,2,417,188.09040379562165,2,3,target
CogMisp24_S31_533496000,533496000,CogMisp-24,27,67,33,67,0.7517151873283949,0.25531604565763816,8,0.470125786163522,0.22632044376143992,4,1.375,0.5175491695067657,8,0.5,0.5345224838248488,8,NA,NA,NA,NA,NA,NA,1,8,1567.7083333333335,887.8415674035114,8,1472.9166666666667,1001.5439470027153,8,1664.5833333333335,804.2268050545531,0.18687499999999996,0.10859286677441457,8,0.12650000000000006,0.0643114630972914,8,481,149.18923745172964,8,2,target
CogMisp24_S34_543228000,543228000,CogMisp-24,25,100,0,100,0.775,0.31819805153394637,2,NA,NA,NA,1.5,0.7071067811865476,2,1,0,2,NA,NA,NA,NA,NA,NA,0.5,2,1633.3333333333335,1437.7837884126466,2,1733.3333333333335,1296.362432175337,2,1733.3333333333335,1296.362432175337,0.12250000000000005,0.13081475451951163,2,0.07462499999999994,0.10848196534703654,2,641,35.35533905932738,2,0,target
CogMisp24_S46_567816000,567816000,CogMisp-24,24,29,71,29,0.5275590551181102,NA,1,NA,NA,NA,3,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,372.22222222222223,NA,1,566.6666666666667,NA,1,566.6666666666667,NA,0.2549999999999999,NA,1,0.20874999999999977,NA,1,400,NA,1,-1,target
CogMisp24_S47_581820000,581820000,CogMisp-24,26,100,0,100,0.7799623360874748,0.17113047877419651,4,0.29245283018867924,0.10228588658673335,2,1.75,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,1.5,4,1129.1666666666667,235.9476558397991,4,1383.3333333333335,469.041575982343,4,1408.3333333333335,437.4801582802229,0.3212499999999999,0.15007636944791383,4,0.20928897527910695,0.0653139956266742,4,458,83.33466665600017,4,1,target
CogMisp24_S50_570504000,570504000,CogMisp-24,25,62,38,62,0.7316419239232275,0.22910890957141344,6,NA,NA,NA,1.8333333333333333,0.752772652709081,6,0.3333333333333333,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,1.6666666666666667,6,975.0000000000001,505.03025211917316,6,1141.6666666666667,736.8664887360684,6,1266.6666666666667,592.2649557231779,0.24333333333333318,0.12643839079435745,6,0.1963055555555556,0.08424860148306237,6,405.1666666666667,188.0174637278853,6,0,target
CogMisp24_S53_562644000,562644000,CogMisp-24,31,27,73,27,0.7228542481282895,0.3203978148669632,5,NA,NA,NA,1.4,0.5477225575051661,5,0.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,1,5,1525,1039.898499320433,5,1410,1147.0130290841898,5,1640,949.0199623237063,0.23200000000000012,0.12925749494710165,5,0.1753318181818182,0.09758756757298415,5,343,170.70149384232113,5,6,target
CogMisp24_S57_576672000,576672000,CogMisp-24,25,90,10,90,0.7826949525062733,0.287987513499326,9,0.30398322851153037,0.25127865458682674,6,1.5555555555555556,0.5270462766947299,9,0.6666666666666666,0.5,9,NA,NA,NA,NA,NA,NA,0.8888888888888888,9,1022.2222222222223,403.478796083374,9,1038.888888888889,388.5514408958256,9,1087.0370370370372,381.6792008292815,0.3011111111111111,0.07030192821758947,9,0.16974771524771537,0.05994802080549429,9,530.8888888888889,46.54149880602376,9,0,target
CogMisp24_S62_588780000,588780000,CogMisp-24,27,38,62,38,0.5337501643532002,0.2329949291750515,6,-0.07232704402515722,0.004447212460292751,2,1.5,0.5477225575051661,6,0.16666666666666666,0.408248290463863,6,NA,NA,NA,NA,NA,NA,2,6,943.0555555555557,556.2877119966956,6,894.4444444444446,602.3718551292482,6,1038.888888888889,531.0018483611549,0.16666666666666666,0.05036533199202261,6,0.17700000000000005,0.038221067489017095,6,266.6666666666667,140.46019602245565,6,2,target
